"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
04.06.2020;Москва;189214;94715;2749;64;1998;3061
10.09.2021;Москва;1582641;1461536;27935;48;1566;1443
23.02.2021;Москва;970755;887637;14831;49;1198;1364
26.04.2020;Москва;42480;3175;404;38;2971;128
30.12.2020;Москва;803203;621292;11136;72;5105;5896
08.11.2021;Москва;1866606;1641106;32112;97;4982;5262
19.04.2020;Москва;24324;1763;176;28;3570;84
30.10.2021;Москва;1809788;1588697;31248;97;7267;5506
08.01.2021;Москва;848452;680759;11799;71;5027;7067
11.06.2020;Москва;201221;115769;3138;53;1436;2236
14.02.2021;Москва;956178;869869;14348;58;1559;2089
19.09.2021;Москва;1601780;1473474;28347;49;2376;1215
23.11.2020;Москва;560579;410641;8379;71;6866;5064
13.08.2021;Москва;1537888;1404879;26482;59;2529;3043
29.03.2020;Москва;1014;28;6;1;197;10
08.08.2021;Москва;1527200;1389595;26189;63;2761;3052
02.12.2020;Москва;617439;464984;9053;75;5191;6575
05.01.2022;Москва;2040649;1880499;37116;71;2307;2648
06.07.2021;Москва;1399830;1194207;23115;114;5498;6019
29.08.2020;Москва;261038;212301;4798;12;677;1393
27.11.2021;Москва;1937409;1760697;33917;96;3430;5116
21.10.2020;Москва;377017;279973;6121;63;4389;2365
10.05.2021;Москва;1119284;1010652;18893;56;2896;1976
06.07.2020;Москва;225545;157652;3975;22;685;632
11.04.2021;Москва;1048316;960171;17248;56;2090;1388
21.03.2021;Москва;1011463;931296;16128;50;1511;1371
31.07.2020;Москва;241359;179168;4460;14;695;1260
07.01.2021;Москва;843425;673692;11728;76;4871;7410
31.10.2021;Москва;1817391;1593747;31342;94;7603;5050
18.04.2020;Москва;20754;1679;148;21;2649;162
18.09.2021;Москва;1599404;1472259;28298;51;2746;1280
15.02.2021;Москва;957996;871836;14404;56;1818;1967
12.06.2020;Москва;202935;118024;3187;49;1714;2255
14.08.2021;Москва;1540205;1407723;26539;57;2317;2844
22.11.2020;Москва;553713;405577;8308;75;6575;5245
03.12.2020;Москва;625189;471833;9126;73;7750;6849
07.08.2021;Москва;1524439;1386543;26126;67;2235;3576
30.03.2020;Москва;1226;28;6;0;212;0
28.08.2020;Москва;260361;210908;4786;10;654;1280
07.07.2021;Москва;1405451;1200695;23219;104;5621;6488
04.01.2022;Москва;2038342;1877851;37045;68;1967;2274
09.05.2021;Москва;1116388;1008676;18837;58;2828;2134
22.10.2020;Москва;381430;282492;6187;66;4413;2519
28.11.2021;Москва;1940495;1764835;34012;95;3086;4138
12.04.2021;Москва;1050149;961392;17302;54;1833;1221
05.07.2020;Москва;224860;157020;3953;24;650;561
01.08.2020;Москва;242049;180581;4473;13;690;1413
20.03.2021;Москва;1009952;929925;16078;54;1728;1769
16.02.2021;Москва;959405;873898;14464;60;1409;2062
21.09.2021;Москва;1606175;1475997;28447;52;1926;1300
13.06.2020;Москва;204428;119558;3231;44;1493;1534
28.10.2021;Москва;1795010;1578057;31058;95;8440;5232
06.01.2021;Москва;838554;666282;11652;70;5142;7206
17.04.2020;Москва;18105;1517;127;14;1959;123
06.08.2021;Москва;1522204;1382967;26059;65;2583;4043
30.11.2020;Москва;605724;452184;8902;74;6511;5073
27.03.2020;Москва;703;18;3;1;157;3
25.11.2020;Москва;571102;422189;8530;75;4685;5947
15.08.2021;Москва;1542159;1410177;26597;58;1954;2454
23.10.2020;Москва;386908;285271;6249;62;5478;2779
12.05.2021;Москва;1124630;1015097;19013;59;2718;2394
25.11.2021;Москва;1930050;1750445;33727;92;3349;5161
04.07.2021;Москва;1387775;1182540;22895;111;7624;5747
27.08.2020;Москва;259707;209628;4776;12;637;1435
07.01.2022;Москва;2046700;1884960;37255;72;3694;2223
19.03.2021;Москва;1008224;928156;16024;51;1809;1902
29.07.2020;Москва;239986;176437;4434;13;671;625
08.07.2020;Москва;226795;160913;4027;28;621;1195
13.04.2021;Москва;1051931;963086;17360;58;1782;1694
14.06.2020;Москва;205905;121691;3281;50;1477;2133
20.09.2021;Москва;1604249;1474697;28395;48;2469;1223
17.02.2021;Москва;960687;876141;14523;59;1282;2243
16.04.2020;Москва;16146;1394;113;7;1370;189
05.01.2021;Москва;833412;659076;11582;75;4842;6752
29.10.2021;Москва;1802521;1583191;31151;93;7511;5134
28.03.2020;Москва;817;18;5;2;114;0
01.12.2020;Москва;612248;458409;8978;76;6524;6225
05.08.2021;Москва;1519621;1378924;25994;68;3227;4477
16.08.2021;Москва;1543648;1412329;26651;54;1489;2152
24.11.2020;Москва;566417;416242;8455;76;5838;5601
26.11.2021;Москва;1933979;1755581;33821;94;3929;5136
11.05.2021;Москва;1121912;1012703;18954;61;2628;2051
24.10.2020;Москва;391361;287910;6312;63;4453;2639
06.01.2022;Москва;2043006;1882737;37183;67;2357;2238
26.08.2020;Москва;259070;208193;4764;11;640;1389
05.07.2021;Москва;1394332;1188188;23001;106;6557;5648
30.07.2020;Москва;240664;177908;4446;12;678;1471
18.03.2021;Москва;1006415;926254;15973;48;1934;1760
14.04.2021;Москва;1053768;964837;17412;52;1837;1751
07.07.2020;Москва;226174;159718;3999;24;629;2066
05.09.2021;Москва;1575355;1454400;27696;48;1542;1158
27.10.2020;Москва;405352;296474;6503;61;4312;3269
21.12.2020;Москва;743697;572541;10469;75;7797;4798
08.07.2021;Москва;1411491;1207500;23328;109;6040;6805
01.04.2020;Москва;1880;115;16;5;267;45
17.01.2021;Москва;891648;739340;12468;67;4012;4612
25.10.2021;Москва;1774707;1564430;30786;83;7778;3892
14.05.2020;Москва;130716;23327;1290;58;4712;1821
02.10.2021;Москва;1641945;1494342;29111;67;4032;2116
13.02.2021;Москва;954619;867780;14290;67;1963;2680
25.05.2020;Москва;166473;53586;2034;41;2560;3746
26.04.2021;Москва;1082996;984346;18090;55;2687;1125
03.07.2020;Москва;223530;154839;3904;34;659;1591
11.08.2020;Москва;248922;191598;4599;14;694;1043
14.03.2021;Москва;1000394;920388;15764;55;1905;1110
23.01.2022;Москва;2174536;1923786;38368;73;17528;2815
15.09.2020;Москва;272523;231483;5006;13;730;1086
07.06.2021;Москва;1201273;1077914;20528;59;3266;1568
25.12.2021;Москва;2017422;1852320;36349;72;2714;3108
31.05.2021;Москва;1179970;1062465;20115;55;2614;1877
26.09.2020;Москва;283760;244006;5146;17;1792;1123
30.11.2021;Москва;1946717;1772354;34202;97;2788;3816
28.10.2020;Москва;409022;300051;6578;75;3670;3577
04.09.2021;Москва;1573813;1453242;27648;55;1549;1356
31.03.2020;Москва;1613;70;11;5;387;42
09.07.2021;Москва;1418134;1214731;23430;102;6643;7231
20.12.2020;Москва;735900;567743;10394;77;7263;4790
15.05.2020;Москва;135464;24562;1358;68;4748;1235
24.10.2021;Москва;1766929;1560538;30703;84;5279;3817
18.01.2021;Москва;895327;743349;12541;73;3679;4009
24.05.2020;Москва;163913;49840;1993;59;2516;2427
12.02.2021;Москва;952656;865100;14223;63;2139;3184
03.10.2021;Москва;1646239;1496227;29176;65;4294;1885
04.07.2020;Москва;224210;156459;3929;25;680;1620
25.04.2021;Москва;1080309;983221;18035;53;2526;1339
22.01.2022;Москва;2157008;1920971;38295;69;16094;3025
15.03.2021;Москва;1001747;921424;15815;51;1353;1036
10.08.2020;Москва;248228;190555;4585;13;694;898
26.12.2021;Москва;2019602;1855083;36420;71;2180;2763
06.06.2021;Москва;1198007;1076346;20469;61;2936;1741
16.09.2020;Москва;273273;232706;5016;10;750;1223
29.11.2021;Москва;1943929;1768538;34105;93;3434;3703
25.09.2020;Москва;281968;242883;5129;14;1560;1227
01.06.2021;Москва;1183639;1064858;20177;62;3669;2393
03.04.2020;Москва;2923;168;20;1;448;28
23.12.2020;Москва;756586;582772;10613;73;5652;5228
10.07.2021;Москва;1423828;1221766;23538;108;5694;7035
03.09.2021;Москва;1572264;1451886;27593;50;1633;1556
25.10.2020;Москва;395816;290524;6380;68;4455;2614
23.05.2020;Москва;161397;47413;1934;67;3190;3831
30.09.2021;Москва;1633920;1490037;28980;62;3998;2237
11.02.2021;Москва;950517;861916;14160;61;2040;3558
16.05.2020;Москва;138969;26032;1432;74;3505;1470
19.01.2021;Москва;898442;747881;12625;84;3115;4532
27.10.2021;Москва;1786570;1572825;30963;91;5789;4471
21.01.2022;Москва;2140914;1917946;38226;72;15987;2313
13.08.2020;Москва;250303;193473;4622;11;692;787
16.03.2021;Москва;1003280;922899;15872;57;1533;1475
24.04.2021;Москва;1077783;981882;17982;59;2541;1879
01.07.2020;Москва;222209;152193;3831;35;611;1796
02.12.2021;Москва;1953279;1779716;34388;92;3805;3634
29.05.2021;Москва;1173637;1058041;20001;61;3241;2911
24.09.2020;Москва;280408;241656;5115;15;1050;1304
23.12.2021;Москва;2012582;1846440;36202;77;3062;3292
17.09.2020;Москва;274003;234029;5025;9;730;1323
09.06.2021;Москва;1209214;1082243;20648;58;4124;2311
11.07.2021;Москва;1429238;1228601;23648;110;5410;6835
22.12.2020;Москва;750934;577544;10540;71;7237;5003
02.04.2020;Москва;2475;140;19;3;595;25
26.10.2020;Москва;401040;293205;6442;62;5224;2681
02.09.2021;Москва;1570631;1450330;27543;51;1864;1686
10.02.2021;Москва;948477;858358;14099;68;1441;3633
01.10.2021;Москва;1637913;1492226;29044;64;3993;2189
22.05.2020;Москва;158207;43582;1867;73;2988;2900
26.10.2021;Москва;1780781;1568354;30872;86;6074;3924
20.01.2021;Москва;900894;752651;12690;65;2452;4770
17.05.2020;Москва;142824;27490;1503;71;3855;1458
17.03.2021;Москва;1004481;924494;15925;53;1201;1595
12.08.2020;Москва;249611;192686;4611;12;689;1088
20.01.2022;Москва;2124927;1915633;38154;70;11557;2307
02.07.2020;Москва;222871;153248;3870;39;662;1055
23.04.2021;Москва;1075242;980003;17923;57;2502;2123
23.09.2020;Москва;279358;240352;5100;16;970;1226
30.05.2021;Москва;1177356;1060588;20060;59;3719;2547
01.12.2021;Москва;1949474;1776082;34296;94;2757;3728
08.06.2021;Москва;1205090;1079932;20590;62;3817;2018
18.09.2020;Москва;274808;235136;5033;8;805;1107
24.12.2021;Москва;2014708;1849212;36277;75;2126;2772
03.07.2021;Москва;1380151;1176793;22784;116;7446;5869
24.08.2020;Москва;257749;205649;4741;10;625;863
31.12.2021;Москва;2030744;1868696;36771;69;2739;2726
18.10.2020;Москва;362253;273881;5958;52;4610;1654
05.05.2021;Москва;1105835;999742;18603;56;2432;1785
24.11.2021;Москва;1926701;1745284;33635;93;2533;5393
09.07.2020;Москва;227363;162086;4059;32;568;1173
16.04.2021;Москва;1058699;968682;17528;57;2476;1901
24.03.2021;Москва;1015522;935400;16288;53;1431;1593
05.08.2020;Москва;244784;184969;4521;11;687;1329
04.11.2021;Москва;1843362;1618624;31728;97;6305;6633
11.01.2021;Москва;862214;701790;12025;75;4646;6684
22.04.2020;Москва;31981;2267;261;28;2548;210
19.02.2021;Москва;964609;880767;14631;53;1972;2112
22.09.2021;Москва;1608166;1477350;28497;50;1991;1353
16.06.2020;Москва;208680;126114;3386;52;1416;2874
18.11.2020;Москва;526630;382634;8009;76;4174;5503
10.08.2021;Москва;1530989;1395285;26309;61;1639;3072
03.08.2021;Москва;1513892;1370145;25850;71;1952;3759
29.11.2020;Москва;599213;447111;8828;72;6798;5576
26.03.2020;Москва;546;15;2;0;136;1
01.01.2022;Москва;2033216;1871054;36838;67;2472;2358
25.08.2020;Москва;258430;206804;4753;12;681;1155
02.07.2021;Москва;1372705;1170924;22668;112;6893;6271
23.11.2021;Москва;1924168;1739891;33542;96;2749;5351
06.05.2021;Москва;1107949;1001798;18662;59;2114;2056
17.10.2020;Москва;357643;272227;5906;56;4648;2001
15.04.2021;Москва;1056223;966781;17471;59;2455;1944
10.07.2020;Москва;228000;163093;4087;28;637;1007
04.08.2020;Москва;244097;183640;4510;12;691;1456
25.03.2021;Москва;1017309;937122;16337;49;1787;1722
23.04.2020;Москва;33940;2448;288;27;1959;181
12.01.2021;Москва;867215;708568;12097;72;5001;6778
03.11.2021;Москва;1837057;1611991;31631;95;6827;6628
15.06.2020;Москва;207264;123240;3334;53;1359;1549
23.09.2021;Москва;1611611;1478681;28551;54;3445;1331
18.02.2021;Москва;962637;878655;14578;55;1950;2514
09.08.2021;Москва;1529350;1392213;26248;59;2150;2618
19.11.2020;Москва;533068;388416;8082;73;6438;5782
25.03.2020;Москва;410;14;2;2;120;5
28.11.2020;Москва;592415;441535;8756;76;7320;6633
04.08.2021;Москва;1516394;1374447;25926;76;2502;4302
22.11.2021;Москва;1921419;1734540;33446;94;2786;5539
20.10.2020;Москва;372628;277608;6058;49;4999;1960
07.05.2021;Москва;1110795;1004060;18722;60;2846;2262
02.01.2022;Москва;2035040;1873286;36907;69;1824;2232
01.07.2021;Москва;1365812;1164653;22556;108;7597;5934
22.08.2020;Москва;256513;203821;4720;10;687;1094
22.03.2021;Москва;1013049;932428;16184;56;1586;1132
03.08.2020;Москва;243406;182184;4498;13;693;842
11.07.2020;Москва;228678;164095;4116;29;678;1002
18.04.2021;Москва;1063773;971557;17639;53;2252;1237
18.06.2020;Москва;210785;130431;3483;49;1040;2046
21.02.2021;Москва;967834;884615;14741;52;1602;1807
24.09.2021;Москва;1614504;1479958;28607;56;2893;1277
20.04.2020;Москва;26350;1838;204;28;2026;75
02.11.2021;Москва;1830230;1605363;31536;98;5736;6359
09.01.2021;Москва;853352;688061;11873;74;4900;7302
24.03.2020;Москва;290;9;0;0;28;0
01.08.2021;Москва;1508610;1363505;25704;78;2484;3475
27.11.2020;Москва;585095;434902;8680;77;7918;6484
20.11.2020;Москва;539970;394252;8159;77;6902;5836
12.08.2021;Москва;1535359;1401836;26423;56;2294;3329
08.05.2021;Москва;1113560;1006542;18779;57;2765;2482
19.10.2020;Москва;367629;275648;6009;51;5376;1767
21.11.2021;Москва;1918633;1729001;33352;97;3438;6081
23.08.2020;Москва;257124;204786;4731;11;611;965
30.06.2021;Москва;1358215;1158719;22448;117;5823;5574
03.01.2022;Москва;2036375;1875577;36977;70;1335;2291
02.08.2020;Москва;242713;181342;4485;12;664;761
23.03.2021;Москва;1014091;933807;16235;51;1042;1379
17.04.2021;Москва;1061521;970320;17586;58;2822;1638
12.07.2020;Москва;229357;164560;4143;27;679;465
25.09.2021;Москва;1617715;1481203;28670;63;3211;1245
20.02.2021;Москва;966232;882808;14689;58;1623;2041
17.06.2020;Москва;209745;128385;3434;48;1065;2271
10.01.2021;Москва;857568;695106;11950;77;4216;7045
01.11.2021;Москва;1824494;1599004;31438;96;7103;5257
21.04.2020;Москва;29433;2057;233;29;3083;219
26.11.2020;Москва;577177;428418;8603;73;6075;6229
02.08.2021;Москва;1511940;1366386;25779;75;3330;2881
23.03.2020;Москва;262;9;0;0;71;1
11.08.2021;Москва;1533065;1398507;26367;58;2076;3222
21.11.2020;Москва;547138;400332;8233;74;7168;6080
21.04.2021;Москва;1070036;975973;17812;58;1988;1744
30.06.2020;Москва;221598;150397;3796;35;745;2295
18.01.2022;Москва;2104575;1911329;38013;69;8342;1838
06.08.2020;Москва;245468;186223;4534;13;684;1254
11.03.2021;Москва;995279;916204;15601;54;1281;1578
30.12.2021;Москва;2028005;1865970;36702;71;2661;2495
20.09.2020;Москва;276493;236947;5057;13;860;892
10.06.2021;Москва;1214459;1084914;20711;63;5245;2671
03.12.2021;Москва;1956583;1783316;34483;95;3304;3600
05.06.2021;Москва;1195071;1074605;20408;56;2897;2180
29.09.2020;Москва;290293;247301;5203;23;2300;1227
08.09.2021;Москва;1579274;1458632;27835;48;1269;1513
01.11.2020;Москва;429409;314791;6820;52;5261;3341
04.04.2020;Москва;3357;194;27;7;434;26
24.12.2020;Москва;764789;588280;10689;76;8203;5508
13.07.2021;Москва;1439632;1242987;23858;103;4991;7290
11.05.2020;Москва;115909;17822;1124;56;6169;4032
14.01.2021;Москва;877428;722487;12241;68;5893;7049
20.10.2021;Москва;1737784;1544301;30381;76;5847;4157
20.05.2020;Москва;152306;36936;1726;75;2699;5440
29.09.2021;Москва;1629922;1487800;28918;65;3004;1938
08.02.2021;Москва;945452;851171;13958;62;1728;3349
29.06.2020;Москва;220853;148102;3761;23;782;1007
22.04.2021;Москва;1072740;977880;17866;54;2704;1907
10.03.2021;Москва;993998;914626;15547;51;1116;1453
07.08.2020;Москва;246154;187576;4546;12;686;1353
19.01.2022;Москва;2113370;1913326;38084;71;8795;1997
11.06.2021;Москва;1220312;1087975;20771;60;5853;3061
19.09.2020;Москва;275633;236055;5044;11;825;919
29.12.2021;Москва;2025344;1863475;36631;70;1798;2653
30.09.2020;Москва;292601;248650;5230;27;2308;1349
04.06.2021;Москва;1192174;1072425;20352;58;2817;2318
04.12.2021;Москва;1959939;1787034;34576;93;3356;3718
31.10.2020;Москва;424148;311450;6768;55;4952;3634
09.09.2021;Москва;1581075;1460093;27887;52;1801;1461
12.07.2021;Москва;1434641;1235697;23755;107;5403;7096
25.12.2020;Москва;772104;593939;10763;74;7315;5659
05.04.2020;Москва;3893;198;29;2;536;4
21.10.2021;Москва;1745681;1548573;30458;77;7897;4272
13.01.2021;Москва;871535;715438;12173;76;4320;6870
10.05.2020;Москва;109740;13790;1068;58;5551;1011
09.02.2021;Москва;947036;854725;14031;73;1584;3554
28.09.2021;Москва;1626918;1485862;28853;63;2541;1886
21.05.2020;Москва;155219;40682;1794;68;2913;3746
08.08.2020;Москва;246845;188854;4560;14;691;1278
13.03.2021;Москва;998489;919278;15709;52;1600;1469
16.01.2022;Москва;2088704;1907686;37877;70;6480;2371
19.04.2021;Москва;1066052;972646;17698;59;2279;1089
28.06.2020;Москва;220071;147095;3738;24;717;1052
03.06.2021;Москва;1189357;1070107;20294;57;2876;2682
27.09.2020;Москва;285776;245132;5164;18;2016;1126
05.12.2021;Москва;1963240;1790218;34668;92;3301;3184
22.09.2020;Москва;278388;239126;5084;15;980;1191
12.06.2021;Москва;1227013;1090700;20838;67;6701;2725
28.12.2021;Москва;2023546;1860822;36561;73;1705;3111
26.12.2020;Москва;779584;599541;10840;77;7480;5602
15.07.2021;Москва;1448835;1258361;24068;101;5237;7855
06.04.2020;Москва;4484;206;29;0;591;8
06.09.2021;Москва;1576818;1455678;27742;46;1463;1278
30.10.2020;Москва;419196;307816;6713;69;5268;3985
27.09.2021;Москва;1624377;1483976;28790;61;3387;1560
06.02.2021;Москва;941696;844165;13832;60;2214;4333
18.05.2020;Москва;146062;28913;1580;77;3238;1423
16.01.2021;Москва;887636;734728;12401;79;4674;5639
22.10.2021;Москва;1753847;1552735;30537;79;8166;4162
13.05.2020;Москва;126004;21506;1232;53;4703;1864
17.01.2022;Москва;2096233;1909491;37944;67;7529;1805
12.03.2021;Москва;996889;917809;15657;56;1610;1605
09.08.2020;Москва;247534;189657;4572;12;689;803
27.06.2020;Москва;219354;146043;3714;20;750;1852
20.04.2021;Москва;1068048;974229;17754;56;1996;1583
06.12.2021;Москва;1966374;1792971;34759;91;3134;2753
28.09.2020;Москва;287993;246074;5180;16;2217;942
02.06.2021;Москва;1186481;1067425;20237;60;2842;2567
27.12.2021;Москва;2021841;1857711;36488;68;2239;2628
13.06.2021;Москва;1234717;1093738;20907;69;7704;3038
21.09.2020;Москва;277408;237935;5069;12;915;988
07.04.2020;Москва;5181;222;31;2;697;16
14.07.2021;Москва;1443598;1250506;23967;109;3966;7519
27.12.2020;Москва;786204;604604;10913;73;6620;5063
29.10.2020;Москва;413928;303831;6644;66;4906;3780
07.09.2021;Москва;1578005;1457119;27787;45;1187;1441
19.05.2020;Москва;149607;31496;1651;71;3545;2583
07.02.2021;Москва;943724;847822;13896;64;2028;3657
26.09.2021;Москва;1620990;1482416;28729;59;3275;1213
12.05.2020;Москва;121301;19642;1179;55;5392;1820
23.10.2021;Москва;1761650;1556721;30619;82;7803;3986
15.01.2021;Москва;882962;729089;12322;81;5534;6602